date,open,high,low,close,volume
2015-06-29 00:00:00+05:30,82.5,83.9,82.5,83.65,87825
2015-06-30 00:00:00+05:30,83.6,84.5,83.5,84.35,24191
2015-07-01 00:00:00+05:30,84.4,85.35,84.1,85.2,43851
2015-07-02 00:00:00+05:30,85.2,85.5,84.9,85.05,22595
2015-07-03 00:00:00+05:30,85.4,85.6,84.9,85.3,43609
2015-07-06 00:00:00+05:30,84.7,86.0,84.5,85.85,38199
2015-07-07 00:00:00+05:30,86.0,86.1,85.5,85.65,51064
2015-07-08 00:00:00+05:30,85.0,85.3,84.25,84.45,59361
2015-07-09 00:00:00+05:30,84.5,84.8,84.1,84.2,27237
2015-07-10 00:00:00+05:30,84.3,84.8,84.1,84.55,23653
2015-07-13 00:00:00+05:30,84.5,85.6,84.45,85.45,24545
2015-07-14 00:00:00+05:30,85.45,85.65,85.15,85.35,19361
2015-07-15 00:00:00+05:30,85.4,86.15,85.4,86.05,20972
2015-07-16 00:00:00+05:30,86.1,86.9,86.1,86.7,31129
2015-07-17 00:00:00+05:30,86.6,87.55,86.5,87.2,658266
2015-07-20 00:00:00+05:30,87.2,87.3,86.6,87.1,15884
2015-07-21 00:00:00+05:30,87.1,87.2,86.1,86.2,17271
2015-07-22 00:00:00+05:30,86.1,87.25,85.9,87.05,34881
2015-07-23 00:00:00+05:30,87.2,87.3,86.55,86.7,17669
2015-07-24 00:00:00+05:30,86.6,86.7,86.05,86.25,17135
2015-07-27 00:00:00+05:30,86.0,86.0,84.55,84.75,35874
2015-07-28 00:00:00+05:30,85.0,85.1,84.3,84.4,21688
2015-07-29 00:00:00+05:30,84.55,84.85,84.3,84.7,14779
2015-07-30 00:00:00+05:30,84.7,85.45,84.7,85.35,14729
2015-07-31 00:00:00+05:30,85.4,86.5,85.4,86.4,44123
2015-08-03 00:00:00+05:30,86.3,86.75,86.05,86.65,21691
2015-08-04 00:00:00+05:30,86.6,86.75,85.7,86.3,63247
2015-08-05 00:00:00+05:30,85.8,87.0,85.8,86.7,18811
2015-08-06 00:00:00+05:30,86.8,87.15,86.45,87.0,27010
2015-08-07 00:00:00+05:30,87.0,87.0,86.5,86.7,14402
2015-08-10 00:00:00+05:30,86.5,87.25,85.95,86.25,22539
2015-08-11 00:00:00+05:30,86.3,86.3,85.55,85.75,17904
2015-08-12 00:00:00+05:30,85.45,85.45,84.45,84.65,28455
2015-08-13 00:00:00+05:30,84.7,85.3,84.4,84.65,22048
2015-08-14 00:00:00+05:30,84.7,86.35,84.7,86.2,15654
2015-08-17 00:00:00+05:30,86.3,86.3,79.85,85.5,73248
2015-08-18 00:00:00+05:30,86.0,86.0,85.05,85.45,17713
2015-08-19 00:00:00+05:30,85.45,86.0,85.1,85.65,21671
2015-08-20 00:00:00+05:30,85.6,85.6,84.35,84.5,31101
2015-08-21 00:00:00+05:30,84.1,84.4,83.25,84.2,45732
2015-08-24 00:00:00+05:30,83.1,83.95,78.85,79.35,468556
2015-08-25 00:00:00+05:30,81.0,81.4,77.7,79.9,349948
2015-08-26 00:00:00+05:30,80.0,80.4,78.9,79.05,109140
2015-08-27 00:00:00+05:30,80.0,80.65,79.6,80.55,51348
2015-08-28 00:00:00+05:30,80.8,82.0,80.6,81.1,63800
2015-08-28 00:00:00+05:30,80.8,82.0,80.6,81.1,63800
2015-08-31 00:00:00+05:30,81.0,81.55,80.6,80.85,73455
2015-09-01 00:00:00+05:30,80.5,80.6,78.6,79.1,164255
2015-09-02 00:00:00+05:30,79.5,79.65,78.2,78.3,110187
2015-09-03 00:00:00+05:30,78.8,79.65,78.4,79.4,50548
2015-09-04 00:00:00+05:30,79.2,79.2,77.5,77.8,207371
2015-09-07 00:00:00+05:30,78.1,80.7,76.4,76.65,202686
2015-09-08 00:00:00+05:30,77.0,78.35,76.5,77.95,177911
2015-09-09 00:00:00+05:30,78.5,79.95,78.5,78.95,45184
2015-09-10 00:00:00+05:30,78.5,79.4,77.8,79.0,140107
2015-09-11 00:00:00+05:30,79.1,79.65,78.65,78.95,54799
2015-09-14 00:00:00+05:30,79.4,79.7,78.7,79.55,34681
2015-09-15 00:00:00+05:30,79.5,79.65,78.95,79.15,22367
2015-09-16 00:00:00+05:30,79.4,80.0,79.4,79.8,20817
2015-09-18 00:00:00+05:30,80.0,81.3,80.0,80.55,50908
2015-09-21 00:00:00+05:30,80.35,80.65,79.8,80.5,50156
2015-09-22 00:00:00+05:30,80.9,80.9,78.65,78.9,61806
2015-09-23 00:00:00+05:30,78.7,79.65,78.15,79.1,50660
2015-09-24 00:00:00+05:30,79.0,81.6,78.9,80.1,84243
2015-09-28 00:00:00+05:30,80.1,80.7,78.7,78.8,136231
2015-09-29 00:00:00+05:30,78.45,80.0,77.65,79.15,137107
2015-09-30 00:00:00+05:30,80.0,80.3,79.45,80.2,33369
2015-10-01 00:00:00+05:30,80.4,80.8,80.1,80.3,52931
2015-10-05 00:00:00+05:30,80.8,82.0,80.8,81.85,81818
2015-10-06 00:00:00+05:30,82.0,82.4,81.75,82.2,65944
2015-10-07 00:00:00+05:30,82.5,83.0,81.9,82.45,29768
2015-10-08 00:00:00+05:30,82.4,82.45,81.8,82.0,37586
2015-10-09 00:00:00+05:30,82.5,83.0,82.1,82.6,30157
2015-10-12 00:00:00+05:30,82.8,83.1,82.0,82.15,26512
2015-10-13 00:00:00+05:30,82.2,82.25,81.6,82.0,35398
2015-10-14 00:00:00+05:30,82.0,82.1,81.7,81.85,29952
2015-10-15 00:00:00+05:30,82.1,82.6,82.1,82.5,60624
2015-10-16 00:00:00+05:30,82.6,83.2,82.2,83.15,19045
2015-10-19 00:00:00+05:30,83.15,83.6,83.0,83.5,32769
2015-10-20 00:00:00+05:30,82.0,83.7,82.0,83.4,21662
2015-10-21 00:00:00+05:30,83.5,83.85,82.9,83.35,23397
2015-10-23 00:00:00+05:30,83.8,84.2,83.55,83.75,34977
2015-10-26 00:00:00+05:30,84.0,84.05,83.35,83.4,23838
2015-10-27 00:00:00+05:30,83.4,83.4,83.1,83.15,12659
2015-10-27 00:00:00+05:30,83.4,83.4,83.1,83.15,12659
2015-10-28 00:00:00+05:30,83.0,83.05,82.3,82.7,23023
2015-10-29 00:00:00+05:30,82.65,82.7,82.2,82.35,22996
2015-10-30 00:00:00+05:30,82.3,82.7,81.6,81.85,34873
2015-11-02 00:00:00+05:30,81.85,81.9,81.1,81.65,34904
2015-11-03 00:00:00+05:30,81.95,82.3,81.5,81.8,25169
2015-11-04 00:00:00+05:30,82.1,82.3,81.4,81.55,50582
2015-11-05 00:00:00+05:30,81.45,81.55,80.65,80.8,35829
2015-11-06 00:00:00+05:30,81.0,81.2,80.3,80.55,61510
2015-11-09 00:00:00+05:30,79.5,80.5,78.8,80.3,70494
2015-11-10 00:00:00+05:30,80.0,80.05,79.0,79.1,65534
2015-11-11 00:00:00+05:30,79.5,79.9,79.1,79.5,10205
2015-11-13 00:00:00+05:30,79.4,79.5,78.5,78.75,60672
2015-11-16 00:00:00+05:30,78.55,79.55,78.35,79.2,36904
2015-11-17 00:00:00+05:30,79.7,79.7,78.9,79.4,27168
2015-11-18 00:00:00+05:30,78.6,79.5,78.4,78.45,28143
2015-11-19 00:00:00+05:30,78.9,79.7,78.65,79.55,21115
2015-11-20 00:00:00+05:30,79.6,80.2,79.2,79.5,16277
2015-11-23 00:00:00+05:30,79.7,79.9,79.4,79.6,12851
2015-11-24 00:00:00+05:30,79.55,79.8,78.95,79.1,87124
2015-11-26 00:00:00+05:30,79.3,79.9,79.1,79.8,23115
2015-11-27 00:00:00+05:30,79.9,80.35,79.75,80.25,23081
2015-11-30 00:00:00+05:30,80.2,80.5,80.1,80.35,24043
2015-12-01 00:00:00+05:30,80.35,80.6,80.2,80.4,18776
2015-12-02 00:00:00+05:30,80.55,80.7,79.9,80.15,15823
2015-12-03 00:00:00+05:30,80.0,80.05,79.35,79.5,21526
2015-12-04 00:00:00+05:30,79.2,79.3,78.75,78.9,33608
2015-12-07 00:00:00+05:30,79.2,79.2,78.5,78.75,35962
2015-12-08 00:00:00+05:30,78.5,78.7,78.0,78.1,33596
2015-12-09 00:00:00+05:30,78.0,78.7,77.1,77.7,91651
2015-12-10 00:00:00+05:30,77.7,78.0,77.25,77.9,33418
2015-12-11 00:00:00+05:30,78.0,78.0,76.7,77.1,36961
2015-12-14 00:00:00+05:30,77.0,77.45,76.45,77.2,856099
2015-12-15 00:00:00+05:30,77.5,77.8,77.0,77.75,80473
2015-12-16 00:00:00+05:30,79.0,79.0,77.7,78.25,33471
2015-12-17 00:00:00+05:30,78.55,79.4,78.2,79.3,41468
2015-12-18 00:00:00+05:30,79.3,79.3,78.6,78.75,21944
2015-12-21 00:00:00+05:30,78.9,79.3,78.5,79.2,29831
2015-12-22 00:00:00+05:30,79.2,79.35,78.6,78.8,19491
2015-12-23 00:00:00+05:30,79.1,79.55,79.0,79.35,22694
2015-12-24 00:00:00+05:30,79.3,79.8,79.3,79.6,12163
2015-12-28 00:00:00+05:30,79.7,80.1,79.6,80.0,46007
2015-12-29 00:00:00+05:30,80.1,80.2,79.85,80.15,24409
2015-12-30 00:00:00+05:30,80.0,80.2,79.7,79.8,31571
2015-12-31 00:00:00+05:30,79.8,80.5,79.65,80.3,27127
2016-01-01 00:00:00+05:30,80.2,80.75,80.0,80.5,27347
2016-01-04 00:00:00+05:30,80.3,80.35,78.9,79.05,40397
